Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:1dzQoRqT5ucxXVaAhTcT0J,Just Dance,"spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis",spotify:album:1qwlxZTNLe1jq3b0iidlue,The Fame,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2008-01-01,https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2,1,1,241933,,false,82,USUM70807646,,2023-12-05T09:28:52Z
spotify:track:1QV6tiMFM6fSOKOGLMHYYg,Poker Face,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,spotify:album:1qwlxZTNLe1jq3b0iidlue,The Fame,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2008-01-01,https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2,1,4,237200,,true,83,USUM70824409,,2023-12-05T09:24:59Z
spotify:track:4tmIJTSnuvskqsPwB5RCqx,This Kiss,spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,spotify:album:6SSSF9Y6MiPdQoxqBptrR2,Kiss,spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,2012-01-01,https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72,1,2,228866,,false,46,USUM71208964,,2023-12-04T09:22:44Z
spotify:track:1GhbQDYGEOjyFwfT8lojcx,California Gurls,"spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Katy Perry, Snoop Dogg",spotify:album:2UG6T6f0Qc9SaBCIcaviLM,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-01-01,https://i.scdn.co/image/ab67616d0000b2731d955011a3ed477dc77865ad,1,3,234653,,false,72,USCA21001135,,2023-12-04T05:30:59Z
spotify:track:6r1ygpKNXg7deq18rzyM7F,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:2UG6T6f0Qc9SaBCIcaviLM,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-01-01,https://i.scdn.co/image/ab67616d0000b2731d955011a3ed477dc77865ad,1,1,227741,,false,72,USCA21001255,,2023-12-04T05:30:57Z
spotify:track:27tNWlhdAryQY04Gb2ZhUI,Roar,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:3jB9yFDwRe3KhtGnHXJntk,PRISM,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2013-01-01,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22,1,1,223546,,false,79,USUM71308669,,2023-12-04T05:30:55Z
spotify:track:2009X8GyWTqyxIdzAEYW6N,The One That Got Away,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:2UG6T6f0Qc9SaBCIcaviLM,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-01-01,https://i.scdn.co/image/ab67616d0000b2731d955011a3ed477dc77865ad,1,7,227333,,false,77,USCA21001266,,2023-12-04T05:30:53Z
spotify:track:4w6jQFJZUBz2nCAjqaXSjF,Leave Out All The Rest,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,spotify:album:4JtIVJRA342O0YoAchen5Q,Minutes to Midnight (Deluxe Edition),spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2007-05-14,https://i.scdn.co/image/ab67616d0000b2732c32ff586ba168b54a2da61e,1,3,209390,https://p.scdn.co/mp3-preview/277178cdc33ad820265f04add0837134dfa45a4f?cid=9950ac751e34487dbbe027c4fd7f8e99,false,47,USWB11201138,,2023-12-02T03:22:55Z
spotify:track:5ZIcLKQxzyI3nPnivwuylV,No More Sorrow,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,spotify:album:4JtIVJRA342O0YoAchen5Q,Minutes to Midnight (Deluxe Edition),spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2007-05-14,https://i.scdn.co/image/ab67616d0000b2732c32ff586ba168b54a2da61e,1,8,221764,https://p.scdn.co/mp3-preview/73aefce9bf9923ae6cfd472d3be9ad6f947b10e7?cid=9950ac751e34487dbbe027c4fd7f8e99,false,46,USWB11201143,,2023-12-02T03:19:20Z
spotify:track:04klL0e4Den6eZV9nitQWT,Bleed It Out,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,spotify:album:4JtIVJRA342O0YoAchen5Q,Minutes to Midnight (Deluxe Edition),spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2007-05-14,https://i.scdn.co/image/ab67616d0000b2732c32ff586ba168b54a2da61e,1,4,164457,https://p.scdn.co/mp3-preview/522a39281a5eab742ed647b5fbdc072bd44df545?cid=9950ac751e34487dbbe027c4fd7f8e99,true,49,USWB11201139,,2023-12-01T11:50:29Z
spotify:track:1DadkoAI2gicYJfindPY20,Wonderwall,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,Oasis,spotify:album:6L5KBi1wt0rv1rA88kS1W4,Time Flies...1994-2009,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,Oasis,2010,https://i.scdn.co/image/ab67616d0000b2734dbd79805250b23f6b80b73a,1,4,259840,https://p.scdn.co/mp3-preview/20284474537394c92c98e543b21efe174ff2599d?cid=9950ac751e34487dbbe027c4fd7f8e99,false,51,GBAAW9500189,,2023-12-01T11:01:51Z
spotify:track:2OqLoPT7OHOwWrEtoU3cPK,Hummingbird Heartbeat,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:2tATnHgurXCAt2fwXmfN3A,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-08-24,https://i.scdn.co/image/ab67616d0000b2739a15574d56374777a9ed846d,1,11,212280,,false,11,USCA21001260,,2023-12-01T10:40:48Z
